Hours Studied;Previous Scores;Extracurricular Activities;Sleep Hours;Sample Question Papers Practiced;Performance Index
6;83;Yes;4;7;71.00.00
6;86;Yes;4;8;75.00.00
6;98;Yes;9;1;89.00.00
3;48;No;5;1;28.00.00
6;73;Yes;7;0;60.00.00
8;56;Yes;5;6;54.00.00
2;66;Yes;6;3;41.00.00
5;68;No;4;8;52.00.00
1;76;No;8;5;53.00.00
1;82;No;4;6;52.00.00
5;61;Yes;6;6;47.00.00
3;90;Yes;7;7;71.00.00
4;63;Yes;5;3;42.00.00
3;46;Yes;4;2;21.00
1;73;Yes;4;2;48.00.00
1;87;No;8;9;64.00.00
5;51;Yes;5;7;38.00.00
6;62;Yes;8;2;49.00.00
3;54;No;8;7;35.00.00
9;72;No;7;1;73.00.00
5;96;Yes;4;4;81.00.00
8;52;No;9;4;47.00.00
1;62;No;5;6;36.00.00
5;77;No;7;4;63.00.00
3;71;Yes;9;8;52.00.00
1;84;No;7;2;58.00.00
4;89;Yes;7;8;77.00.00
5;74;No;6;0;58.00.00
7;40;Yes;6;2;33.00.00
1;86;Yes;7;3;67.00.00
3;97;Yes;6;5;76.00.00
2;84;No;5;9;62.00.00
9;44;No;4;7;37.00.00
6;96;No;9;6;86.00.00
3;52;Yes;5;7;37.00.00
8;93;No;4;5;88.00.00
8;44;No;6;5;38.00.00
2;99;Yes;9;5;76.00.00
6;71;No;5;2;57.00.00
7;90;Yes;8;9;82.00.00
2;60;No;7;3;35.00.00
2;63;Yes;4;5;41.00.00
1;99;Yes;4;6;75.00.00
8;57;No;8;2;51.00.00
1;60;Yes;8;3;34.00.00
9;93;No;7;5;92.00.00
6;49;No;6;0;39.00.00
7;63;No;5;6;56.00.00
7;79;No;5;0;69.00.00
3;86;Yes;5;9;69.00.00
2;60;Yes;6;8;40.00.00
9;64;Yes;7;9;63.00.00
8;91;No;5;8;86.00.00
7;99;No;4;8;89.00.00
9;96;Yes;4;3;94.00.00
4;98;Yes;4;1;79.00.00
4;62;No;8;6;44.00.00
1;61;No;8;3;33.00.00
8;43;No;6;4;36.00.00
3;73;Yes;5;0;50.00.00
7;95;No;8;9;94.00.00
2;45;Yes;4;5;22.00
2;67;No;8;6;44.00.00
7;70;Yes;4;2;60.00.00
6;74;No;5;9;64.00.00
3;78;Yes;6;1;58.00.00
9;81;Yes;7;9;78.00.00
6;62;Yes;7;6;51.00.00
6;45;No;4;0;30.00.00
1;55;Yes;8;1;29.00.00
4;41;Yes;8;2;22.00
6;63;No;4;3;51.00.00
6;56;Yes;5;4;45.00.00
5;84;Yes;4;3;70.00.00
1;40;No;5;9;10.00
8;45;Yes;6;2;38.00.00
5;44;No;6;0;30.00.00
5;96;Yes;4;6;82.00.00
7;84;No;6;9;74.00.00
4;99;Yes;8;5;87.00.00
6;94;Yes;5;1;77.00.00
4;89;Yes;7;1;72.00.00
3;68;No;7;2;51.00.00
7;51;Yes;6;7;40.00.00
8;78;Yes;5;7;72.00.00
4;86;No;8;9;68.00.00
2;42;No;7;9;22.00
3;87;No;8;9;67.00.00
1;40;Yes;8;9;18.00
8;66;Yes;7;7;64.00.00
3;87;Yes;7;6;66.00.00
7;63;No;6;1;50.00.00
5;83;No;5;0;68.00.00
5;58;Yes;4;5;44.00.00
7;98;Yes;5;7;90.00.00
9;47;No;4;0;41.00.00
5;94;No;7;2;83.00.00
1;83;No;8;0;57.00.00
1;86;Yes;5;9;64.00.00
2;41;No;8;8;18.00
6;69;No;5;6;62.00.00
9;69;No;9;7;66.00.00
8;88;No;5;8;85.00.00
5;78;Yes;8;2;62.00.00
1;84;No;9;9;62.00.00
7;71;Yes;6;1;62.00.00
5;40;Yes;7;5;26.00.00
6;77;No;6;4;66.00.00
7;52;No;6;3;43.00.00
3;50;Yes;5;5;30.00.00
3;49;No;7;5;25.00.00
5;87;Yes;9;2;77.00.00
6;98;No;5;1;88.00.00
9;65;Yes;4;8;62.00.00
5;95;Yes;5;7;82.00.00
1;94;Yes;9;3;73.00.00
4;59;No;8;5;44.00.00
5;56;Yes;5;2;40.00.00
5;56;Yes;4;7;39.00.00
7;43;No;5;2;34.00.00
4;44;No;9;1;27.00.00
1;99;Yes;4;6;73.00.00
5;62;Yes;7;2;46.00.00
7;85;No;9;8;78.00.00
6;91;Yes;5;2;80.00.00
5;49;No;4;7;33.00.00
4;85;No;9;1;68.00.00
2;67;No;7;8;45.00.00
4;72;Yes;8;0;56.00.00
3;82;No;6;2;58.00.00
1;65;Yes;4;1;37.00.00
8;94;Yes;8;6;88.00.00
5;89;No;7;4;75.00.00
4;87;No;8;7;70.00.00
8;68;No;5;1;62.00.00
7;66;No;6;7;57.00.00
2;57;Yes;4;6;32.00.00
1;79;Yes;9;4;53.00.00
4;99;No;7;1;82.00.00
8;49;Yes;6;9;41.00.00
2;97;No;7;6;75.00.00
3;81;Yes;8;9;63.00.00
1;44;Yes;7;3;17.00
1;49;Yes;7;3;24.00.00
3;89;No;8;7;69.00.00
5;60;Yes;8;5;47.00.00
3;63;Yes;6;8;43.00.00
1;77;Yes;4;1;48.00.00
1;42;Yes;8;4;17.00
8;79;No;6;5;75.00.00
2;70;Yes;7;7;54.00.00
3;80;No;7;3;59.00.00
2;76;No;9;6;56.00.00
3;41;Yes;5;6;20.00
7;41;Yes;8;3;34.00.00
1;78;No;6;0;54.00.00
8;88;No;9;2;83.00.00
2;81;No;6;1;59.00.00
3;83;Yes;4;2;63.00.00
9;73;Yes;9;4;72.00.00
7;81;No;6;0;70.00.00
4;59;No;8;4;41.00.00
5;72;No;6;1;54.00.00
2;43;Yes;5;3;21.00
8;84;Yes;7;5;83.00.00
4;83;No;7;8;64.00.00
9;50;Yes;9;9;51.00.00
5;81;No;6;5;66.00.00
9;86;Yes;6;9;83.00.00
4;44;No;6;1;26.00.00
5;64;Yes;6;7;49.00.00
9;88;Yes;5;4;85.00.00
8;99;Yes;8;8;95.00.00
3;76;Yes;5;9;56.00.00
1;73;Yes;5;8;50.00.00
3;48;Yes;5;3;23.00
4;45;Yes;7;0;26.00.00
2;57;No;5;8;30.00.00
1;53;No;6;8;28.00.00
7;58;No;5;7;48.00.00
8;53;Yes;6;4;46.00.00
7;79;Yes;9;4;73.00.00
5;56;Yes;8;9;45.00.00
1;99;No;7;5;76.00.00
7;74;No;8;0;71.00.00
7;68;No;9;8;60.00.00
9;81;No;8;4;77.00.00
3;56;No;7;6;36.00.00
9;98;No;6;7;96.00.00
1;82;Yes;9;4;62.00.00
1;47;No;9;2;22.00
4;40;Yes;6;5;21.00
9;84;No;6;6;79.00.00
6;92;No;7;3;82.00.00
3;75;Yes;5;8;55.00.00
1;46;Yes;4;3;22.00
4;85;Yes;5;9;70.00.00
9;44;No;5;1;37.00.00
3;63;No;8;8;42.00.00
9;67;Yes;4;3;64.00.00
7;82;No;6;3;72.00.00
4;56;Yes;5;9;42.00.00
3;76;No;7;0;56.00.00
5;59;No;5;1;43.00.00
5;42;No;6;2;24.00.00
3;76;Yes;5;6;55.00.00
9;65;No;9;8;64.00.00
4;54;Yes;8;4;34.00.00
5;90;Yes;8;3;78.00.00
4;87;Yes;5;1;71.00.00
5;47;Yes;8;6;33.00.00
7;52;Yes;7;5;46.00.00
9;87;Yes;4;6;86.00.00
7;42;Yes;5;7;34.00.00
5;40;Yes;7;8;26.00.00
7;48;Yes;9;9;44.00.00
5;70;No;7;4;53.00.00
3;80;Yes;7;4;61.00.00
7;93;No;9;3;84.00.00
2;65;Yes;6;2;40.00.00
9;56;No;5;6;53.00.00
1;95;No;5;4;67.00.00
6;73;No;5;6;58.00.00
7;48;No;4;1;41.00.00
8;95;No;7;8;89.00.00
9;90;No;5;8;85.00.00
2;52;Yes;8;8;33.00.00
2;44;Yes;6;4;20.00
5;80;Yes;9;9;66.00.00
5;52;Yes;9;8;38.00.00
6;40;Yes;4;0;25.00.00
3;64;Yes;9;1;43.00.00
8;86;No;6;9;79.00.00
1;43;Yes;7;4;16.00
6;75;No;9;4;67.00.00
4;91;No;9;5;80.00.00
1;49;No;8;7;26.00.00
7;67;No;7;0;57.00.00
9;96;No;5;9;91.00.00
4;45;No;6;8;29.00.00
4;66;Yes;9;3;48.00.00
6;95;No;8;7;84.00.00
3;51;No;6;4;33.00.00
6;91;Yes;4;0;82.00.00
7;87;Yes;8;8;81.00.00
3;42;Yes;4;7;24.00.00
7;85;Yes;9;4;81.00.00
3;72;Yes;8;3;54.00.00
2;49;Yes;5;7;25.00.00
4;70;Yes;6;8;53.00.00
8;54;No;6;6;48.00.00
9;46;Yes;7;3;40.00.00
7;75;No;8;6;66.00.00
1;53;Yes;8;5;29.00.00
3;95;Yes;4;2;73.00.00
9;87;No;8;9;89.00.00
1;53;Yes;6;2;27.00.00
9;42;Yes;8;0;40.00.00
8;88;Yes;7;4;83.00.00
1;92;Yes;7;7;69.00.00
6;85;Yes;6;5;72.00.00
5;89;Yes;6;7;77.00.00
6;42;Yes;6;6;32.00.00
5;61;No;8;1;49.00.00
6;58;Yes;8;7;44.00.00
5;74;No;5;3;57.00.00
5;51;No;9;4;34.00.00
4;93;No;9;7;76.00.00
3;44;No;4;4;22.00
3;49;No;8;4;30.00.00
4;80;No;5;5;67.00.00
9;72;No;5;6;71.00.00
2;52;Yes;7;8;29.00.00
9;74;Yes;8;6;74.00.00
1;90;Yes;5;5;67.00.00
1;71;No;7;9;46.00.00
5;50;Yes;4;3;34.00.00
6;87;No;7;9;76.00.00
6;77;No;4;1;64.00.00
3;63;Yes;9;8;46.00.00
7;74;No;9;9;68.00.00
9;58;No;6;4;58.00.00
8;45;Yes;6;4;41.00.00
6;79;No;7;2;64.00.00
8;93;Yes;6;2;84.00.00
5;84;No;8;0;70.00.00
8;83;No;7;4;77.00.00
4;81;Yes;5;2;60.00.00
8;74;Yes;8;1;65.00.00
2;43;Yes;7;8;21.00
5;72;No;9;9;60.00.00
9;52;No;4;5;48.00.00
4;95;Yes;6;2;77.00.00
6;75;Yes;6;6;63.00.00
1;93;Yes;6;8;68.00.00
9;82;No;7;8;81.00.00
1;58;No;8;0;29.00.00
5;82;Yes;4;1;66.00.00
4;51;Yes;6;7;36.00.00
3;50;Yes;8;0;29.00.00
6;45;No;5;2;32.00.00
2;51;Yes;9;6;31.00.00
3;66;Yes;5;7;45.00.00
5;80;Yes;4;4;65.00.00
9;64;No;6;1;57.00.00
2;81;No;5;2;58.00.00
8;42;Yes;9;8;38.00.00
2;42;No;8;9;22.00
5;59;Yes;8;6;48.00.00
7;67;Yes;5;0;59.00.00
8;62;Yes;6;2;58.00.00
1;87;Yes;9;8;62.00.00
6;42;No;4;6;30.00.00
1;81;Yes;6;1;56.00.00
2;63;Yes;7;5;40.00.00
1;82;No;5;8;59.00.00
5;79;Yes;7;3;65.00.00
9;45;No;5;9;43.00.00
6;59;Yes;4;1;48.00.00
1;50;Yes;6;2;24.00.00
1;71;Yes;9;6;51.00.00
2;99;Yes;6;3;81.00.00
9;66;No;5;6;62.00.00
3;60;Yes;8;4;43.00.00
1;83;No;7;7;63.00.00
5;87;No;9;7;73.00.00
7;89;No;9;4;76.00.00
6;52;Yes;6;6;43.00.00
1;61;No;6;5;34.00.00
5;74;No;5;7;57.00.00
5;86;No;8;8;72.00.00
6;61;Yes;7;4;47.00.00
3;67;Yes;8;6;52.00.00
5;60;No;9;0;49.00.00
7;85;No;8;7;77.00.00
5;57;Yes;5;2;41.00.00
5;70;No;8;0;56.00.00
5;99;No;7;5;89.00.00
3;85;No;9;7;65.00.00
1;76;Yes;4;2;49.00.00
5;60;No;9;0;48.00.00
9;53;No;4;2;47.00.00
1;64;Yes;7;4;37.00.00
3;66;No;9;7;48.00.00
4;79;Yes;9;8;61.00.00
1;99;Yes;9;8;77.00.00
1;99;Yes;9;3;75.00.00
8;62;No;5;7;57.00.00
2;70;No;6;4;45.00.00
8;86;No;9;2;82.00.00
7;99;No;5;4;90.00.00
2;68;No;7;1;42.00.00
6;86;No;9;5;74.00.00
6;69;No;8;0;60.00.00
3;90;No;9;5;73.00.00
2;65;Yes;9;4;40.00.00
1;59;No;4;8;32.00.00
6;77;No;8;6;67.00.00
5;58;Yes;9;5;46.00.00
9;66;No;9;6;65.00.00
1;64;Yes;9;9;42.00.00
7;79;No;5;4;69.00.00
5;77;No;7;0;62.00.00
5;91;Yes;4;8;75.00.00
2;62;Yes;9;4;40.00.00
3;68;No;7;3;43.00.00
7;54;Yes;4;5;42.00.00
6;98;No;4;4;84.00.00
2;42;No;4;0;15.00
6;49;No;9;1;39.00.00
2;54;No;5;3;26.00.00
2;95;No;9;7;73.00.00
2;55;No;9;4;34.00.00
3;56;Yes;7;6;34.00.00
2;58;Yes;6;1;37.00.00
4;50;Yes;6;7;34.00.00
9;87;No;6;4;85.00.00
6;44;Yes;7;3;31.00.00
1;44;No;8;8;18.00
8;97;Yes;7;5;92.00.00
7;53;No;4;3;44.00.00
3;89;No;9;7;72.00.00
1;65;No;8;2;40.00.00
5;47;No;4;9;31.00.00
4;44;No;9;1;25.00.00
8;46;Yes;9;6;44.00.00
1;55;No;4;3;27.00.00
1;94;Yes;7;3;66.00.00
4;53;No;6;9;34.00.00
8;76;No;8;8;70.00.00
5;95;No;9;1;81.00.00
2;80;Yes;5;0;56.00.00
6;43;No;9;6;30.00.00
5;75;Yes;6;7;60.00.00
2;87;No;9;2;64.00.00
3;95;Yes;5;1;74.00.00
9;56;Yes;7;3;52.00.00
7;86;Yes;9;1;84.00.00
7;75;No;8;1;66.00.00
6;45;No;7;4;32.00.00
8;55;Yes;5;9;47.00.00
4;68;No;4;4;51.00.00
8;75;No;9;7;67.00.00
4;77;No;7;8;57.00.00
8;76;Yes;9;1;71.00.00
9;87;Yes;8;0;86.00.00
3;96;No;9;2;77.00.00
3;87;Yes;7;5;72.00.00
2;49;No;6;4;24.00.00
3;80;No;7;7;60.00.00
3;75;Yes;5;7;55.00.00
5;68;Yes;7;1;54.00.00
5;53;No;8;8;39.00.00
2;43;No;7;3;19.00
6;83;No;7;0;68.00.00
5;95;Yes;8;1;83.00.00
6;81;Yes;7;5;72.00.00
1;75;No;8;4;49.00.00
5;89;No;5;6;74.00.00
9;84;Yes;8;8;86.00.00
2;52;No;5;5;26.00.00
1;85;Yes;5;5;60.00.00
9;57;Yes;8;1;54.00.00
9;72;No;7;6;73.00.00
9;60;No;9;1;61.00.00
6;55;Yes;6;6;45.00.00
8;54;No;9;7;57.00.00
1;93;Yes;8;0;68.00.00
4;96;Yes;7;8;72.00.00
1;44;Yes;5;7;17.00
8;45;No;4;8;37.00.00
1;77;No;6;4;54.00.00
3;42;No;9;3;22.00
4;87;Yes;7;0;73.00.00
8;51;Yes;6;8;47.00.00
6;75;Yes;4;3;63.00.00
7;72;Yes;4;3;63.00.00
8;75;No;4;3;68.00.00
2;72;No;9;1;52.00.00
8;70;No;8;3;64.00.00
3;60;Yes;6;1;38.00.00
7;66;Yes;8;7;60.00.00
3;66;No;4;6;45.00.00
7;47;Yes;7;9;39.00.00
2;95;No;4;1;75.00.00
6;76;Yes;8;1;67.00.00
3;71;Yes;4;1;48.00.00
3;65;Yes;4;0;44.00.00
9;41;Yes;8;5;37.00.00
7;51;Yes;8;5;41.00.00
5;61;No;7;0;47.00.00
7;56;No;8;0;45.00.00
9;46;No;7;5;43.00.00
1;82;Yes;5;5;54.00.00
7;43;No;5;3;32.00.00
6;76;No;8;2;64.00.00
9;77;Yes;4;8;74.00.00
1;71;Yes;6;5;50.00.00
4;50;No;4;0;33.00.00
9;40;No;8;2;36.00.00
4;64;No;7;0;45.00.00
3;81;No;4;2;58.00.00
9;91;No;5;1;85.00.00
2;63;Yes;9;4;41.00.00
4;92;No;8;2;78.00.00
6;82;No;4;6;63.00.00
2;95;No;9;7;76.00.00
8;56;No;4;6;51.00.00
8;47;No;7;1;36.00.00
1;98;No;7;9;74.00.00
3;84;Yes;7;9;65.00.00
9;66;Yes;9;6;65.00.00
5;91;Yes;6;9;79.00.00
6;57;No;9;2;46.00.00
4;66;No;8;6;47.00.00
2;61;Yes;8;0;42.00.00
8;55;No;5;1;46.00.00
6;41;No;5;9;34.00.00
5;44;No;8;0;27.00.00
9;57;Yes;4;8;52.00.00
1;42;Yes;8;1;17.00
5;66;Yes;6;1;53.00.00
6;93;No;5;5;84.00.00
5;56;Yes;5;6;39.00.00
6;55;Yes;9;1;44.00.00
6;45;Yes;5;3;36.00.00
7;90;No;8;2;81.00.00
4;46;Yes;5;4;30.00.00
8;89;Yes;5;8;80.00.00
7;53;No;9;1;41.00.00
9;77;Yes;8;4;77.00.00
7;79;No;4;7;69.00.00
3;54;No;5;5;34.00.00
3;86;Yes;5;3;64.00.00
8;86;Yes;5;9;78.00.00
5;87;Yes;6;7;74.00.00
4;72;No;8;2;52.00.00
8;82;Yes;5;3;76.00.00
6;66;Yes;6;8;53.00.00
2;68;Yes;4;4;46.00.00
4;96;No;4;5;77.00.00
4;76;No;9;1;59.00.00
6;44;No;9;8;35.00.00
6;68;Yes;9;7;61.00.00
1;71;Yes;6;6;46.00.00
8;99;No;4;8;97.00.00
6;92;Yes;9;4;86.00.00
3;45;Yes;7;4;24.00.00
9;41;No;9;8;37.00.00
2;45;No;4;4;18.00
8;85;No;7;8;84.00.00
3;82;Yes;6;0;59.00.00
5;43;Yes;7;9;29.00.00
6;95;Yes;4;9;84.00.00
6;68;No;5;7;60.00.00
4;98;No;7;2;78.00.00
3;64;Yes;4;7;46.00.00
4;48;No;9;4;31.00.00
1;95;No;5;1;68.00.00
4;42;Yes;6;8;25.00.00
1;65;No;6;3;37.00.00
1;87;Yes;8;6;62.00.00
6;82;No;6;7;69.00.00
5;66;Yes;8;6;50.00.00
4;75;No;6;5;55.00.00
3;71;Yes;6;6;54.00.00
1;40;No;6;3;12.00
6;96;No;8;9;88.00.00
2;92;No;9;0;69.00.00
8;93;No;8;4;88.00.00
5;55;No;7;7;41.00.00
7;90;Yes;4;9;83.00.00
2;87;Yes;4;5;62.00.00
8;50;Yes;9;4;45.00.00
2;65;No;4;1;42.00.00
4;79;Yes;6;9;65.00.00
1;94;No;9;4;73.00.00
5;40;No;4;9;23.00
9;65;Yes;8;2;61.00.00
1;67;Yes;7;1;41.00.00
9;92;No;5;2;85.00.00
8;97;No;7;3;93.00.00
6;48;Yes;4;1;35.00.00
7;99;Yes;9;3;92.00.00
3;98;No;4;3;79.00.00
1;83;No;8;5;57.00.00
5;61;Yes;7;4;49.00.00
2;47;No;8;6;28.00.00
5;97;No;8;6;85.00.00
8;88;Yes;5;2;82.00.00
9;81;Yes;8;8;80.00.00
2;66;No;8;6;41.00.00
3;78;No;5;6;57.00.00
3;58;Yes;6;1;41.00.00
1;64;No;6;9;43.00.00
8;77;Yes;9;2;73.00.00
6;60;No;5;2;46.00.00
8;63;Yes;9;5;61.00.00
9;63;No;9;3;61.00.00
5;99;No;8;3;87.00.00
3;99;No;9;0;78.00.00
5;58;Yes;4;5;43.00.00
5;89;Yes;7;7;75.00.00
